"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.ID","Gene.Name"
"ENSMUSG00000037957",99.1791384703657,-0.400082786296363,0.351002861107729,-1.13982770691311,0.254358088159346,0.81121314900763,"ENSMUSG00000037957","Wdr20"
"ENSMUSG00000037958",41.2986194456213,0.0656519282779986,0.537997680007509,0.122030132689573,0.902875154166529,0.99143044352867,"ENSMUSG00000037958","Nsrp1"
"ENSMUSG00000037960",66.6183221045092,-0.0379722352629813,0.561327926840346,-0.0676471514195328,0.946066519933387,0.9936526729113,"ENSMUSG00000037960","Card19"
"ENSMUSG00000037962",3.20886427394345,1.36949027295547,1.79206005003047,0.764198874324654,0.444748737289754,NA,"ENSMUSG00000037962","Rflna"
"ENSMUSG00000037965",899.048778629437,-0.111379276969589,0.222024869243444,-0.501652257916499,0.615912152963601,0.947909665227538,"ENSMUSG00000037965","Zc3h7a"
"ENSMUSG00000037966",17.331068883158,0.345378398192,1.0079141929264,0.342666469641847,0.731849390457418,0.972231867413061,"ENSMUSG00000037966","Ninj1"
"ENSMUSG00000037971",44.3116401505815,-0.426999054607316,0.49651619465832,-0.859990186022347,0.389794452349083,0.888073296435024,"ENSMUSG00000037971","1110032A03Rik"
"ENSMUSG00000037972",16.8538419348487,0.341914269486253,0.983464575960572,0.34766302502792,0.728093268120476,0.971618534563176,"ENSMUSG00000037972","Snn"
"ENSMUSG00000037974",3.27077699462599,0.376302216210735,2.38647357417361,0.157681283498411,0.874707949578645,NA,"ENSMUSG00000037974","Muc5ac"
"ENSMUSG00000037979",4.37364992404834,-5.5956562086174,2.01389068854411,-2.77853025511659,0.00546054278246422,NA,"ENSMUSG00000037979","Ccdc92"
"ENSMUSG00000037982",2.79975078932858,-2.03998129833315,2.31322834161548,-0.881876320479669,0.377843693618589,NA,"ENSMUSG00000037982","Gm9725"
"ENSMUSG00000037989",42.4461712840712,-0.317349730730415,0.63796232108193,-0.497442748957677,0.618876865997393,0.947909665227538,"ENSMUSG00000037989","Wnk2"
"ENSMUSG00000037990",1.34747580881325,-3.92529368411301,3.46436206708029,-1.13304949312679,0.257193469595351,NA,"ENSMUSG00000037990","Sh3rf3"
"ENSMUSG00000037991",13.0857598283983,0.101048757242544,1.30846445324727,0.0772269792975785,0.938442979357065,0.9936526729113,"ENSMUSG00000037991","Rmi2"
"ENSMUSG00000037992",57.7030517137279,0.370229867626976,0.42735360693453,0.866331444544693,0.386308427143755,0.886943813659051,"ENSMUSG00000037992","Rara"
"ENSMUSG00000037993",113.426324281708,0.645789998871085,0.332112156665482,1.94449370765296,0.0518359434833225,0.461622529176015,"ENSMUSG00000037993","Dhx38"
"ENSMUSG00000037995",396.04126933289,-0.0720682907114176,0.209843114857741,-0.343438910351073,0.731268291360274,0.972048450761296,"ENSMUSG00000037995","Igsf9"
"ENSMUSG00000037996",1.93143710370983,0.169638270624316,2.50863358411943,0.0676217809161884,0.946086716419822,NA,"ENSMUSG00000037996","Slc24a2"
"ENSMUSG00000037997",63.5812574550288,-1.15618365361348,0.814673264230079,-1.41919921074881,0.15584094600963,0.712281223624844,"ENSMUSG00000037997","Parp11"
"ENSMUSG00000037999",841.952098950692,-0.132746131440735,0.208722579576521,-0.63599315277755,0.524780884962102,0.929109830153872,"ENSMUSG00000037999","Arap2"
"ENSMUSG00000038000",21.8345016114663,0.866046566412296,0.739298334288744,1.1714439573917,0.241420372056147,0.800605318260612,"ENSMUSG00000038000","Acd"
"ENSMUSG00000038002",249.632059994735,-0.032290200880605,0.248497739296741,-0.129941628330252,0.896612608829158,0.990447385095158,"ENSMUSG00000038002","Cramp1l"
"ENSMUSG00000038005",86.3431947075786,0.383842859237469,0.365022840449028,1.05155846895852,0.293002170621872,0.837611775214489,"ENSMUSG00000038005","Hpf1"
"ENSMUSG00000038007",13.9240309953489,-0.197101723347161,0.827433185215796,-0.238208627438307,0.811719285970063,0.980388620275529,"ENSMUSG00000038007","Acer2"
"ENSMUSG00000038009",169.456474520887,0.312026571540908,0.339659110643391,0.918646259627361,0.358280627354785,0.873243985558601,"ENSMUSG00000038009","Dnajc22"
"ENSMUSG00000038010",25.405760828488,-1.1146052906042,0.727101449127058,-1.53294329414743,0.125289827325141,0.666750335848491,"ENSMUSG00000038010","Ccdc138"
"ENSMUSG00000038011",5.34386679169109,0.612061955724124,1.67564691283421,0.365269049843486,0.71491057927671,0.970102544900755,"ENSMUSG00000038011","Dnah10"
"ENSMUSG00000038013",597.539272137439,-0.228788769020801,0.199531752045939,-1.14662837706214,0.251535243221665,0.810088674710163,"ENSMUSG00000038013","Wipf2"
"ENSMUSG00000038014",2178.89338082661,0.0566695873780027,0.16426882360277,0.34498078293322,0.730108817897177,0.971618534563176,"ENSMUSG00000038014","Fam120a"
