"Gene.Name","Gene.ID.x","log2FoldChange","padj","Gene.ID.y","atlas_log2FC","direction_R","direction_ATLAS","match"
"Aasdh","ENSMUSG00000055923",-0.387311217975221,0.940651889095629,"ENSMUSG00000055923",-0.3,"Down","Down",TRUE
"Aasdhppt","ENSMUSG00000025894",-0.190566996239921,0.972240843222942,"ENSMUSG00000025894",-0.2,"Down","Down",TRUE
"Aatf","ENSMUSG00000018697",-0.465795667921725,0.894429177023843,"ENSMUSG00000018697",-0.3,"Down","Down",TRUE
"Abat","ENSMUSG00000057880",-1.37146065040384,0.0151548112824364,"ENSMUSG00000057880",-1.3,"Down","Down",TRUE
"Abca1","ENSMUSG00000015243",0.855212943433181,0.260105748103814,"ENSMUSG00000015243",0.7,"Up","Up",TRUE
"Abca12","ENSMUSG00000050296",-0.609713776423425,0.201296155503891,"ENSMUSG00000050296",-0.6,"Down","Down",TRUE
"Abca3","ENSMUSG00000024130",0.0663842226051473,0.980388620275529,"ENSMUSG00000024130",0.1,"Up","Up",TRUE
"Abca5","ENSMUSG00000018800",0.570658017896448,0.906729300500848,"ENSMUSG00000018800",0.4,"Up","Up",TRUE
"Abca7","ENSMUSG00000035722",-0.238317729637203,0.903181273936903,"ENSMUSG00000035722",-0.2,"Down","Down",TRUE
"Abcb1a","ENSMUSG00000040584",-0.389799504128961,0.775426035229874,"ENSMUSG00000040584",-0.3,"Down","Down",TRUE
"Abcb1b","ENSMUSG00000028970",0.950327948967989,0.724381023664526,"ENSMUSG00000028970",0.6,"Up","Up",TRUE
"Abcb7","ENSMUSG00000031333",-0.298770350158431,0.732540051962888,"ENSMUSG00000031333",-0.3,"Down","Down",TRUE
"Abcb8","ENSMUSG00000028973",0.205030279534673,0.939829337142249,"ENSMUSG00000028973",0.2,"Up","Up",TRUE
"Abcb9","ENSMUSG00000029408",1.20613454947831,0.724906208772919,"ENSMUSG00000029408",0.7,"Up","Up",TRUE
"Abcc10","ENSMUSG00000032842",-0.484859143701539,0.791479864433815,"ENSMUSG00000032842",-0.4,"Down","Down",TRUE
"Abcc3","ENSMUSG00000020865",-0.530608429498104,0.337723005275338,"ENSMUSG00000020865",-0.5,"Down","Down",TRUE
"Abcc4","ENSMUSG00000032849",1.73025978174871,2.92239619211738e-05,"ENSMUSG00000032849",1.5,"Up","Up",TRUE
"Abcc5","ENSMUSG00000022822",-0.290057303877344,0.76440939912815,"ENSMUSG00000022822",-0.3,"Down","Down",TRUE
"Abcc9","ENSMUSG00000030249",-0.362612853373719,0.882758103847736,"ENSMUSG00000030249",-0.3,"Down","Down",TRUE
"Abcd1","ENSMUSG00000031378",-0.0744800879147736,0.991084263115069,"ENSMUSG00000031378",-0.1,"Down","Down",TRUE
"Abcd3","ENSMUSG00000028127",-0.459291468404822,0.329649895331341,"ENSMUSG00000028127",-0.4,"Down","Down",TRUE
"Abcd4","ENSMUSG00000021240",0.114621075422857,0.980388620275529,"ENSMUSG00000021240",0.1,"Up","Up",TRUE
"Abce1","ENSMUSG00000058355",0.152492611380678,0.916425489906891,"ENSMUSG00000058355",0.1,"Up","Up",TRUE
"Abcf1","ENSMUSG00000038762",0.076775028500815,0.980388620275529,"ENSMUSG00000038762",0.1,"Up","Up",TRUE
"Abcf2","ENSMUSG00000028953",0.296618053430479,0.891282268533359,"ENSMUSG00000028953",0.2,"Up","Up",TRUE
"Abcf3","ENSMUSG00000003234",0.0506201895972747,0.989379950008282,"ENSMUSG00000003234",0.1,"Up","Up",TRUE
"Abcg1","ENSMUSG00000024030",-0.330493484144979,0.979415674134127,"ENSMUSG00000024030",-0.1,"Down","Down",TRUE
"Abcg2","ENSMUSG00000029802",-0.752732711389543,0.0156558598593523,"ENSMUSG00000029802",-0.7,"Down","Down",TRUE
"Abhd10","ENSMUSG00000033157",-1.06794936258035,0.794964275671982,"ENSMUSG00000033157",-0.5,"Down","Down",TRUE
"Abhd11","ENSMUSG00000040532",-1.04346748972331,0.839188111382669,"ENSMUSG00000040532",-0.2,"Down","Down",TRUE
"Abhd11os","ENSMUSG00000085042",-0.286107049571985,0.915785624170799,"ENSMUSG00000085042",-0.3,"Down","Down",TRUE
"Abhd12","ENSMUSG00000032046",0.241637177550072,0.936175834178223,"ENSMUSG00000032046",0.2,"Up","Up",TRUE
"Abhd13","ENSMUSG00000040396",0.24832820953236,0.827564876991579,"ENSMUSG00000040396",0.2,"Up","Up",TRUE
"Abhd14b","ENSMUSG00000042073",0.367031120245514,0.92445172575939,"ENSMUSG00000042073",0.2,"Up","Up",TRUE
"Abhd16a","ENSMUSG00000007036",-0.474612736943515,0.710869290804031,"ENSMUSG00000007036",-0.4,"Down","Down",TRUE
"Abhd17a","ENSMUSG00000003346",-0.21186776177653,0.956006003098817,"ENSMUSG00000003346",-0.2,"Down","Down",TRUE
"Abhd18","ENSMUSG00000037818",0.257519855289995,0.922396743559192,"ENSMUSG00000037818",0.2,"Up","Up",TRUE
"Abhd3","ENSMUSG00000002475",-0.673222693391142,0.9174987817089,"ENSMUSG00000002475",-0.3,"Down","Down",TRUE
